[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_late_e400_12844540.pbs101_20260207_174356.log
[job] name=train_rgbt_late_e400 id=12844540.pbs101 host=x1000c3s5b0n0 time=Sat Feb  7 17:43:56 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 279.644684
[e001 s0050/1030] loss = 12.886390
[e001 s0100/1030] loss = 7.384389
[e001 s0150/1030] loss = 5.454519
[e001 s0200/1030] loss = 4.731481
[e001 s0250/1030] loss = 4.347600
[e001 s0300/1030] loss = 3.979777
[e001 s0350/1030] loss = 3.784931
[e001 s0400/1030] loss = 3.737745
[e001 s0450/1030] loss = 4.610442
[e001 s0500/1030] loss = 4.372829
[e001 s0550/1030] loss = 4.184769
[e001 s0600/1030] loss = 4.085379
[e001 s0650/1030] loss = 4.024824
[e001 s0700/1030] loss = 3.987264
[e001 s0750/1030] loss = 3.919184
[e001 s0800/1030] loss = 3.817874
[e001 s0850/1030] loss = 3.872286
[e001 s0900/1030] loss = 3.767037
[e001 s0950/1030] loss = 3.809593
[e001 s1000/1030] loss = 3.755427
Epoch 001: train_loss = 3.731151  MAE/GAME0 = 23.228  RMSE = 42.235  GAME1 = 23.235  GAME2 = 23.244  GAME3 = 23.250  lr = 1.00e-05  time = 14.9s
[e002 s0001/1030] loss = 0.050044
[e002 s0050/1030] loss = 1.817613
[e002 s0100/1030] loss = 1.870137
[e002 s0150/1030] loss = 2.469768
[e002 s0200/1030] loss = 2.348617
[e002 s0250/1030] loss = 2.495804
[e002 s0300/1030] loss = 2.923622
[e002 s0350/1030] loss = 3.558527
[e002 s0400/1030] loss = 3.565541
[e002 s0450/1030] loss = 4.072881
[e002 s0500/1030] loss = 3.938538
[e002 s0550/1030] loss = 3.775837
[e002 s0600/1030] loss = 3.731143
[e002 s0650/1030] loss = 3.722843
[e002 s0700/1030] loss = 3.742232
[e002 s0750/1030] loss = 3.615969
[e002 s0800/1030] loss = 3.629808
[e002 s0850/1030] loss = 3.633968
[e002 s0900/1030] loss = 3.566814
[e002 s0950/1030] loss = 3.563266
[e002 s1000/1030] loss = 3.555884
Epoch 002: train_loss = 3.527761  MAE/GAME0 = 23.243  RMSE = 42.247  GAME1 = 23.243  GAME2 = 23.246  GAME3 = 23.246  lr = 1.00e-05  time = 12.9s
[e003 s0001/1030] loss = 0.000000
[e003 s0050/1030] loss = 1.970350
[e003 s0100/1030] loss = 2.353100
[e003 s0150/1030] loss = 2.847807
[e003 s0200/1030] loss = 5.525661
[e003 s0250/1030] loss = 4.788542
[e003 s0300/1030] loss = 4.613147
[e003 s0350/1030] loss = 4.213469
[e003 s0400/1030] loss = 4.309626
[e003 s0450/1030] loss = 4.068170
[e003 s0500/1030] loss = 3.935077
[e003 s0550/1030] loss = 3.760560
[e003 s0600/1030] loss = 3.707991
[e003 s0650/1030] loss = 3.592145
[e003 s0700/1030] loss = 3.547410
[e003 s0750/1030] loss = 3.504989
[e003 s0800/1030] loss = 3.442090
[e003 s0850/1030] loss = 3.475861
[e003 s0900/1030] loss = 3.546903
[e003 s0950/1030] loss = 3.556396
[e003 s1000/1030] loss = 3.504401
Epoch 003: train_loss = 3.528745  MAE/GAME0 = 23.243  RMSE = 42.247  GAME1 = 23.243  GAME2 = 23.247  GAME3 = 23.247  lr = 1.00e-05  time = 12.8s
[e004 s0001/1030] loss = 0.110926
[e004 s0050/1030] loss = 2.809505
[e004 s0100/1030] loss = 2.697449
[e004 s0150/1030] loss = 2.881736
[e004 s0200/1030] loss = 2.943143
[e004 s0250/1030] loss = 2.709350
[e004 s0300/1030] loss = 2.960338
[e004 s0350/1030] loss = 3.220384
[e004 s0400/1030] loss = 3.121220
[e004 s0450/1030] loss = 3.087640
[e004 s0500/1030] loss = 2.965603
[e004 s0550/1030] loss = 2.904485
[e004 s0600/1030] loss = 3.041731
[e004 s0650/1030] loss = 3.155906
[e004 s0700/1030] loss = 3.010627
[e004 s0750/1030] loss = 3.067537
[e004 s0800/1030] loss = 3.099711
[e004 s0850/1030] loss = 3.291912
[e004 s0900/1030] loss = 3.279722
[e004 s0950/1030] loss = 3.486192
[e004 s1000/1030] loss = 3.545621
Epoch 004: train_loss = 3.690908  MAE/GAME0 = 23.243  RMSE = 42.247  GAME1 = 23.243  GAME2 = 23.247  GAME3 = 23.247  lr = 1.00e-05  time = 13.5s
[e005 s0001/1030] loss = 0.219530
[e005 s0050/1030] loss = 2.321338
[e005 s0100/1030] loss = 2.345322
[e005 s0150/1030] loss = 2.823966
[e005 s0200/1030] loss = 2.795113
[e005 s0250/1030] loss = 3.260049
[e005 s0300/1030] loss = 3.050272
[e005 s0350/1030] loss = 2.840849
[e005 s0400/1030] loss = 3.287060
[e005 s0450/1030] loss = 3.163387
[e005 s0500/1030] loss = 3.115709
[e005 s0550/1030] loss = 3.089981
[e005 s0600/1030] loss = 2.975710
[e005 s0650/1030] loss = 3.181898
[e005 s0700/1030] loss = 3.148425
[e005 s0750/1030] loss = 3.153560
[e005 s0800/1030] loss = 3.032727
[e005 s0850/1030] loss = 3.028407
[e005 s0900/1030] loss = 3.004199
[e005 s0950/1030] loss = 2.952496
[e005 s1000/1030] loss = 3.012039
Epoch 005: train_loss = 2.978535  MAE/GAME0 = 23.244  RMSE = 42.247  GAME1 = 23.244  GAME2 = 23.246  GAME3 = 23.246  lr = 1.00e-05  time = 12.9s
[e006 s0001/1030] loss = 0.050044
[e006 s0050/1030] loss = 2.285461
[e006 s0100/1030] loss = 2.626123
[e006 s0150/1030] loss = 2.672749
[e006 s0200/1030] loss = 2.736881
[e006 s0250/1030] loss = 2.595358
[e006 s0300/1030] loss = 2.577211
[e006 s0350/1030] loss = 2.569381
[e006 s0400/1030] loss = 3.761721
[e006 s0450/1030] loss = 3.570714
[e006 s0500/1030] loss = 3.443025
[e006 s0550/1030] loss = 3.396066
[e006 s0600/1030] loss = 3.296307
[e006 s0650/1030] loss = 3.705547
[e006 s0700/1030] loss = 3.730072
[e006 s0750/1030] loss = 3.807908
[e006 s0800/1030] loss = 3.885497
[e006 s0850/1030] loss = 3.779266
[e006 s0900/1030] loss = 3.761723
[e006 s0950/1030] loss = 3.889368
[e006 s1000/1030] loss = 3.895988
