[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e400_12844541.pbs101_20260207_174401.log
[job] name=train_t_e400 id=12844541.pbs101 host=x1000c0s4b0n0 time=Sat Feb  7 17:44:01 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 111933.992188
[e001 s0050/1030] loss = 5024.956667
[e001 s0100/1030] loss = 2522.286705
[e001 s0150/1030] loss = 1686.582446
[e001 s0200/1030] loss = 1268.379174
[e001 s0250/1030] loss = 1017.124714
[e001 s0300/1030] loss = 849.332772
[e001 s0350/1030] loss = 729.064454
[e001 s0400/1030] loss = 638.949134
[e001 s0450/1030] loss = 569.553441
[e001 s0500/1030] loss = 513.057224
[e001 s0550/1030] loss = 466.883303
[e001 s0600/1030] loss = 428.497228
[e001 s0650/1030] loss = 395.970505
[e001 s0700/1030] loss = 368.118069
[e001 s0750/1030] loss = 343.838211
[e001 s0800/1030] loss = 322.570208
[e001 s0850/1030] loss = 303.918573
[e001 s0900/1030] loss = 287.188802
[e001 s0950/1030] loss = 272.371698
[e001 s1000/1030] loss = 258.963526
Epoch 001: train_loss = 251.528570  MAE/GAME0 = 22.033  RMSE = 41.522  GAME1 = 22.844  GAME2 = 23.866  GAME3 = 24.241  lr = 1.00e-05  time = 46.0s
[e002 s0001/1030] loss = 0.300967
[e002 s0050/1030] loss = 2.314364
[e002 s0100/1030] loss = 2.341659
[e002 s0150/1030] loss = 2.976526
[e002 s0200/1030] loss = 2.862624
[e002 s0250/1030] loss = 3.004391
[e002 s0300/1030] loss = 3.395446
[e002 s0350/1030] loss = 4.018214
[e002 s0400/1030] loss = 4.003742
[e002 s0450/1030] loss = 4.517642
[e002 s0500/1030] loss = 4.362403
[e002 s0550/1030] loss = 4.179240
[e002 s0600/1030] loss = 4.108966
[e002 s0650/1030] loss = 4.093484
[e002 s0700/1030] loss = 4.100807
[e002 s0750/1030] loss = 3.962522
[e002 s0800/1030] loss = 3.973233
[e002 s0850/1030] loss = 3.963992
[e002 s0900/1030] loss = 3.917840
[e002 s0950/1030] loss = 3.903918
[e002 s1000/1030] loss = 3.884831
Epoch 002: train_loss = 3.850804  MAE/GAME0 = 22.726  RMSE = 41.931  GAME1 = 23.039  GAME2 = 23.462  GAME3 = 23.652  lr = 1.00e-05  time = 7.4s
[e003 s0001/1030] loss = 0.159980
[e003 s0050/1030] loss = 2.146999
[e003 s0100/1030] loss = 2.587083
[e003 s0150/1030] loss = 3.103964
[e003 s0200/1030] loss = 5.780418
[e003 s0250/1030] loss = 5.015606
[e003 s0300/1030] loss = 4.808750
[e003 s0350/1030] loss = 4.405028
[e003 s0400/1030] loss = 4.484742
[e003 s0450/1030] loss = 4.232550
[e003 s0500/1030] loss = 4.101490
[e003 s0550/1030] loss = 3.917475
[e003 s0600/1030] loss = 3.870610
[e003 s0650/1030] loss = 3.748474
[e003 s0700/1030] loss = 3.696081
[e003 s0750/1030] loss = 3.648620
