[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgb_e400_13008675.pbs101_20260228_140708.log
[job] name=train_rgb_e400 id=13008675.pbs101 host=x1000c2s0b0n1 time=Sat Feb 28 14:07:08 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:453: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 470571.843750
[e001 s0050/1030] loss = 34617.658250
[e001 s0100/1030] loss = 17381.658896
[e001 s0150/1030] loss = 11615.926595
[e001 s0200/1030] loss = 8730.844020
[e001 s0250/1030] loss = 6995.350655
[e001 s0300/1030] loss = 5839.009468
[e001 s0350/1030] loss = 5010.418916
[e001 s0400/1030] loss = 4389.578971
[e001 s0450/1030] loss = 3906.543760
[e001 s0500/1030] loss = 3519.014559
[e001 s0550/1030] loss = 3201.416858
[e001 s0600/1030] loss = 2936.398031
[e001 s0650/1030] loss = 2711.740992
[e001 s0700/1030] loss = 2519.626023
[e001 s0750/1030] loss = 2352.983663
[e001 s0800/1030] loss = 2206.861127
[e001 s0850/1030] loss = 2078.168055
[e001 s0900/1030] loss = 1963.559818
[e001 s0950/1030] loss = 1861.003546
[e001 s1000/1030] loss = 1768.504620
Epoch 001: train_loss = 1717.194040  MAE/GAME0 = 20.713  RMSE = 40.223  GAME1 = 23.289  GAME2 = 25.443  GAME3 = 26.202  lr = 5.07e-06  time = 30.7s
[e002 s0001/1030] loss = 0.295202
[e002 s0050/1030] loss = 6.509056
[e002 s0100/1030] loss = 8.840243
[e002 s0150/1030] loss = 10.261029
[e002 s0200/1030] loss = 10.115732
[e002 s0250/1030] loss = 9.235291
[e002 s0300/1030] loss = 9.939617
[e002 s0350/1030] loss = 10.505438
[e002 s0400/1030] loss = 10.460786
[e002 s0450/1030] loss = 10.558192
[e002 s0500/1030] loss = 10.345083
[e002 s0550/1030] loss = 10.036014
[e002 s0600/1030] loss = 9.664514
[e002 s0650/1030] loss = 9.946877
[e002 s0700/1030] loss = 9.808049
[e002 s0750/1030] loss = 9.495014
[e002 s0800/1030] loss = 9.268996
[e002 s0850/1030] loss = 9.169467
[e002 s0900/1030] loss = 8.857395
[e002 s0950/1030] loss = 8.872706
[e002 s1000/1030] loss = 8.681582
Epoch 002: train_loss = 8.555178  MAE/GAME0 = 22.183  RMSE = 41.469  GAME1 = 23.180  GAME2 = 23.979  GAME3 = 24.247  lr = 5.28e-06  time = 7.5s
[e003 s0001/1030] loss = 2.949594
[e003 s0050/1030] loss = 3.554828
[e003 s0100/1030] loss = 3.397706
[e003 s0150/1030] loss = 4.856961
[e003 s0200/1030] loss = 7.213258
[e003 s0250/1030] loss = 6.233722
[e003 s0300/1030] loss = 6.128040
[e003 s0350/1030] loss = 5.759431
[e003 s0400/1030] loss = 5.943768
[e003 s0450/1030] loss = 5.783465
[e003 s0500/1030] loss = 5.630070
[e003 s0550/1030] loss = 5.435245
[e003 s0600/1030] loss = 5.389138
[e003 s0650/1030] loss = 5.238653
[e003 s0700/1030] loss = 5.161885
[e003 s0750/1030] loss = 5.290785
[e003 s0800/1030] loss = 5.264239
[e003 s0850/1030] loss = 5.243817
[e003 s0900/1030] loss = 5.252623
[e003 s0950/1030] loss = 5.194164
[e003 s1000/1030] loss = 5.114165
Epoch 003: train_loss = 5.103887  MAE/GAME0 = 22.758  RMSE = 41.876  GAME1 = 23.174  GAME2 = 23.557  GAME3 = 23.670  lr = 5.62e-06  time = 7.5s
[e004 s0001/1030] loss = 0.112727
[e004 s0050/1030] loss = 4.162764
[e004 s0100/1030] loss = 3.572547
[e004 s0150/1030] loss = 3.755832
[e004 s0200/1030] loss = 3.839409
[e004 s0250/1030] loss = 3.594996
[e004 s0300/1030] loss = 3.789149
[e004 s0350/1030] loss = 4.093387
[e004 s0400/1030] loss = 3.931521
[e004 s0450/1030] loss = 3.941813
[e004 s0500/1030] loss = 3.758586
[e004 s0550/1030] loss = 3.728541
[e004 s0600/1030] loss = 3.878504
[e004 s0650/1030] loss = 3.941373
[e004 s0700/1030] loss = 3.766309
[e004 s0750/1030] loss = 3.818769
[e004 s0800/1030] loss = 3.812979
[e004 s0850/1030] loss = 3.987322
[e004 s0900/1030] loss = 3.942858
[e004 s0950/1030] loss = 4.132750
[e004 s1000/1030] loss = 4.190574
Epoch 004: train_loss = 4.318653  MAE/GAME0 = 23.008  RMSE = 42.052  GAME1 = 23.179  GAME2 = 23.387  GAME3 = 23.441  lr = 6.10e-06  time = 7.5s
[e005 s0001/1030] loss = 0.216064
[e005 s0050/1030] loss = 2.563988
[e005 s0100/1030] loss = 2.549954
[e005 s0150/1030] loss = 2.978445
[e005 s0200/1030] loss = 3.004734
[e005 s0250/1030] loss = 3.432445
[e005 s0300/1030] loss = 3.233362
[e005 s0350/1030] loss = 3.032885
[e005 s0400/1030] loss = 3.493644
[e005 s0450/1030] loss = 3.369669
[e005 s0500/1030] loss = 3.316202
[e005 s0550/1030] loss = 3.318150
[e005 s0600/1030] loss = 3.187238
[e005 s0650/1030] loss = 3.380471
[e005 s0700/1030] loss = 3.342045
[e005 s0750/1030] loss = 3.335951
[e005 s0800/1030] loss = 3.209122
[e005 s0850/1030] loss = 3.195929
[e005 s0900/1030] loss = 3.173066
[e005 s0950/1030] loss = 3.124292
[e005 s1000/1030] loss = 3.180654
Epoch 005: train_loss = 3.150449  MAE/GAME0 = 23.105  RMSE = 42.119  GAME1 = 23.205  GAME2 = 23.327  GAME3 = 23.360  lr = 6.71e-06  time = 7.5s
[e006 s0001/1030] loss = 0.051880
[e006 s0050/1030] loss = 2.300684
[e006 s0100/1030] loss = 2.680368
[e006 s0150/1030] loss = 2.711392
[e006 s0200/1030] loss = 2.780358
[e006 s0250/1030] loss = 2.636420
[e006 s0300/1030] loss = 2.690399
[e006 s0350/1030] loss = 2.673091
[e006 s0400/1030] loss = 3.855638
[e006 s0450/1030] loss = 3.660974
[e006 s0500/1030] loss = 3.531036
[e006 s0550/1030] loss = 3.481425
[e006 s0600/1030] loss = 3.377357
[e006 s0650/1030] loss = 3.784862
[e006 s0700/1030] loss = 3.808855
[e006 s0750/1030] loss = 3.887280
[e006 s0800/1030] loss = 3.963493
[e006 s0850/1030] loss = 3.868592
[e006 s0900/1030] loss = 3.848656
[e006 s0950/1030] loss = 3.983184
[e006 s1000/1030] loss = 4.008009
Epoch 006: train_loss = 4.017868  MAE/GAME0 = 23.164  RMSE = 42.167  GAME1 = 23.222  GAME2 = 23.295  GAME3 = 23.316  lr = 7.45e-06  time = 7.6s
[e007 s0001/1030] loss = 8.648450
[e007 s0050/1030] loss = 3.984778
[e007 s0100/1030] loss = 3.856880
[e007 s0150/1030] loss = 3.335490
[e007 s0200/1030] loss = 3.231274
[e007 s0250/1030] loss = 3.421111
[e007 s0300/1030] loss = 3.385600
[e007 s0350/1030] loss = 3.938305
[e007 s0400/1030] loss = 4.427694
[e007 s0450/1030] loss = 4.668745
[e007 s0500/1030] loss = 4.481031
[e007 s0550/1030] loss = 4.421329
[e007 s0600/1030] loss = 4.271772
[e007 s0650/1030] loss = 4.133936
[e007 s0700/1030] loss = 3.996334
[e007 s0750/1030] loss = 3.897308
[e007 s0800/1030] loss = 3.790857
[e007 s0850/1030] loss = 3.746714
[e007 s0900/1030] loss = 3.742082
[e007 s0950/1030] loss = 3.746373
[e007 s1000/1030] loss = 3.721949
Epoch 007: train_loss = 3.697746  MAE/GAME0 = 23.208  RMSE = 42.206  GAME1 = 23.234  GAME2 = 23.268  GAME3 = 23.278  lr = 8.32e-06  time = 7.6s
[e008 s0001/1030] loss = 6.657074
[e008 s0050/1030] loss = 2.207763
[e008 s0100/1030] loss = 3.010769
[e008 s0150/1030] loss = 3.543411
[e008 s0200/1030] loss = 3.385110
[e008 s0250/1030] loss = 3.319314
[e008 s0300/1030] loss = 3.330451
[e008 s0350/1030] loss = 3.221740
[e008 s0400/1030] loss = 3.164375
[e008 s0450/1030] loss = 3.760470
[e008 s0500/1030] loss = 3.621411
[e008 s0550/1030] loss = 3.535843
[e008 s0600/1030] loss = 3.544629
[e008 s0650/1030] loss = 3.685395
[e008 s0700/1030] loss = 3.679520
[e008 s0750/1030] loss = 3.587541
[e008 s0800/1030] loss = 3.551747
[e008 s0850/1030] loss = 3.464590
[e008 s0900/1030] loss = 3.467664
[e008 s0950/1030] loss = 3.441793
[e008 s1000/1030] loss = 3.343450
Epoch 008: train_loss = 3.359678  MAE/GAME0 = 23.224  RMSE = 42.223  GAME1 = 23.244  GAME2 = 23.261  GAME3 = 23.265  lr = 9.30e-06  time = 7.6s
[e009 s0001/1030] loss = 1.763182
[e009 s0050/1030] loss = 4.249758
[e009 s0100/1030] loss = 5.035608
[e009 s0150/1030] loss = 5.273681
[e009 s0200/1030] loss = 5.541947
[e009 s0250/1030] loss = 4.663083
[e009 s0300/1030] loss = 4.455771
[e009 s0350/1030] loss = 4.094413
[e009 s0400/1030] loss = 4.013270
[e009 s0450/1030] loss = 3.917571
[e009 s0500/1030] loss = 3.787751
[e009 s0550/1030] loss = 3.750014
[e009 s0600/1030] loss = 3.629412
[e009 s0650/1030] loss = 3.486470
[e009 s0700/1030] loss = 3.372379
[e009 s0750/1030] loss = 3.392076
[e009 s0800/1030] loss = 3.305290
[e009 s0850/1030] loss = 3.324956
[e009 s0900/1030] loss = 3.265682
[e009 s0950/1030] loss = 3.189503
[e009 s1000/1030] loss = 3.194187
Epoch 009: train_loss = 3.231244  MAE/GAME0 = 23.230  RMSE = 42.226  GAME1 = 23.246  GAME2 = 23.258  GAME3 = 23.260  lr = 1.04e-05  time = 7.6s
[e010 s0001/1030] loss = 0.450233
[e010 s0050/1030] loss = 3.942249
[e010 s0100/1030] loss = 3.378563
[e010 s0150/1030] loss = 3.718397
[e010 s0200/1030] loss = 3.366084
[e010 s0250/1030] loss = 3.885087
[e010 s0300/1030] loss = 3.708625
[e010 s0350/1030] loss = 3.527817
[e010 s0400/1030] loss = 3.575897
[e010 s0450/1030] loss = 4.002610
[e010 s0500/1030] loss = 3.855112
