[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e100_sanity_12834589.pbs101_20260205_183821.log
[job] name=train_t_e100_sanity id=12834589.pbs101 host=x1000c1s3b0n1 time=Thu Feb  5 18:38:21 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 191.211060
[e001 s0050/1030] loss = 6.979963
[e001 s0100/1030] loss = 3.499671
[e001 s0150/1030] loss = 2.339309
[e001 s0200/1030] loss = 1.760374
[e001 s0250/1030] loss = 1.413247
[e001 s0300/1030] loss = 1.181571
[e001 s0350/1030] loss = 1.015888
[e001 s0400/1030] loss = 0.891766
[e001 s0450/1030] loss = 0.796844
[e001 s0500/1030] loss = 0.718845
[e001 s0550/1030] loss = 0.655112
[e001 s0600/1030] loss = 0.602368
[e001 s0650/1030] loss = 0.557766
[e001 s0700/1030] loss = 0.519503
[e001 s0750/1030] loss = 0.486254
[e001 s0800/1030] loss = 0.457086
[e001 s0850/1030] loss = 0.431862
[e001 s0900/1030] loss = 0.408742
[e001 s0950/1030] loss = 0.388528
[e001 s1000/1030] loss = 0.369995
Epoch 001: train_loss = 0.359835  MAE/GAME0 = 22.948  RMSE = 42.055  GAME1 = 23.134  GAME2 = 23.477  GAME3 = 23.610  lr = 1.00e-05  time = 72.6s
[e002 s0001/1030] loss = 0.001051
[e002 s0050/1030] loss = 0.015733
[e002 s0100/1030] loss = 0.015934
[e002 s0150/1030] loss = 0.019047
[e002 s0200/1030] loss = 0.018528
[e002 s0250/1030] loss = 0.019239
[e002 s0300/1030] loss = 0.020535
[e002 s0350/1030] loss = 0.021696
[e002 s0400/1030] loss = 0.021439
[e002 s0450/1030] loss = 0.022819
[e002 s0500/1030] loss = 0.022184
[e002 s0550/1030] loss = 0.021607
[e002 s0600/1030] loss = 0.021343
[e002 s0650/1030] loss = 0.021465
[e002 s0700/1030] loss = 0.021742
[e002 s0750/1030] loss = 0.021330
[e002 s0800/1030] loss = 0.021330
[e002 s0850/1030] loss = 0.021440
[e002 s0900/1030] loss = 0.021195
[e002 s0950/1030] loss = 0.021179
[e002 s1000/1030] loss = 0.021249
Epoch 002: train_loss = 0.021230  MAE/GAME0 = 23.156  RMSE = 42.205  GAME1 = 23.205  GAME2 = 23.327  GAME3 = 23.367  lr = 1.00e-05  time = 7.5s
[e003 s0001/1030] loss = 0.000000
[e003 s0050/1030] loss = 0.016575
[e003 s0100/1030] loss = 0.018532
[e003 s0150/1030] loss = 0.019655
[e003 s0200/1030] loss = 0.024684
[e003 s0250/1030] loss = 0.022566
[e003 s0300/1030] loss = 0.022745
[e003 s0350/1030] loss = 0.021587
[e003 s0400/1030] loss = 0.022318
[e003 s0450/1030] loss = 0.021785
[e003 s0500/1030] loss = 0.021472
[e003 s0550/1030] loss = 0.020846
[e003 s0600/1030] loss = 0.020697
[e003 s0650/1030] loss = 0.020397
[e003 s0700/1030] loss = 0.020484
[e003 s0750/1030] loss = 0.020413
[e003 s0800/1030] loss = 0.020285
[e003 s0850/1030] loss = 0.020631
[e003 s0900/1030] loss = 0.020905
[e003 s0950/1030] loss = 0.021060
[e003 s1000/1030] loss = 0.020893
Epoch 003: train_loss = 0.020939  MAE/GAME0 = 23.211  RMSE = 42.232  GAME1 = 23.221  GAME2 = 23.286  GAME3 = 23.306  lr = 1.00e-05  time = 7.4s
[e004 s0001/1030] loss = 0.003103
[e004 s0050/1030] loss = 0.019971
[e004 s0100/1030] loss = 0.020442
[e004 s0150/1030] loss = 0.020965
[e004 s0200/1030] loss = 0.020818
[e004 s0250/1030] loss = 0.019590
[e004 s0300/1030] loss = 0.020235
[e004 s0350/1030] loss = 0.021197
[e004 s0400/1030] loss = 0.020888
[e004 s0450/1030] loss = 0.020742
[e004 s0500/1030] loss = 0.020263
[e004 s0550/1030] loss = 0.020044
[e004 s0600/1030] loss = 0.020409
[e004 s0650/1030] loss = 0.020856
[e004 s0700/1030] loss = 0.020200
[e004 s0750/1030] loss = 0.020504
[e004 s0800/1030] loss = 0.020571
[e004 s0850/1030] loss = 0.020829
