[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_base_e100_sanity_12849219.pbs101_20260209_125956.log
[job] name=train_rgbt_base_e100_sanity id=12849219.pbs101 host=x1000c0s6b0n0 time=Mon Feb  9 12:59:56 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:404: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 5072832.000000
[e001 s0050/1030] loss = 269814.757958
[e001 s0100/1030] loss = 135613.624382
[e001 s0150/1030] loss = 90757.453171
[e001 s0200/1030] loss = 68264.106455
[e001 s0250/1030] loss = 54712.995900
[e001 s0300/1030] loss = 45660.928923
[e001 s0350/1030] loss = 39186.021161
[e001 s0400/1030] loss = 34318.689974
[e001 s0450/1030] loss = 30532.686322
[e001 s0500/1030] loss = 27496.356214
[e001 s0550/1030] loss = 25008.146219
[e001 s0600/1030] loss = 22933.714715
[e001 s0650/1030] loss = 21178.583229
[e001 s0700/1030] loss = 19671.721519
[e001 s0750/1030] loss = 18365.907007
[e001 s0800/1030] loss = 17222.427245
[e001 s0850/1030] loss = 16212.925578
[e001 s0900/1030] loss = 15314.999889
[e001 s0950/1030] loss = 14511.285528
[e001 s1000/1030] loss = 13787.710926
Epoch 001: train_loss = 13387.421386  MAE/GAME0 = 18.110  RMSE = 38.091  GAME1 = 23.069  GAME2 = 29.303  GAME3 = 31.528  lr = 1.00e-05  time = 50.1s
[e002 s0001/1030] loss = 8.160645
[e002 s0050/1030] loss = 39.259466
[e002 s0100/1030] loss = 34.858589
[e002 s0150/1030] loss = 33.563178
[e002 s0200/1030] loss = 30.085070
[e002 s0250/1030] loss = 27.943874
[e002 s0300/1030] loss = 28.250628
[e002 s0350/1030] loss = 26.637740
[e002 s0400/1030] loss = 26.316058
[e002 s0450/1030] loss = 25.411362
[e002 s0500/1030] loss = 24.681213
[e002 s0550/1030] loss = 23.631165
[e002 s0600/1030] loss = 22.674122
[e002 s0650/1030] loss = 22.143589
[e002 s0700/1030] loss = 21.371224
[e002 s0750/1030] loss = 20.841089
[e002 s0800/1030] loss = 20.292332
[e002 s0850/1030] loss = 19.585554
[e002 s0900/1030] loss = 18.899988
[e002 s0950/1030] loss = 18.426440
[e002 s1000/1030] loss = 17.956785
Epoch 002: train_loss = 17.789788  MAE/GAME0 = 21.277  RMSE = 40.752  GAME1 = 22.702  GAME2 = 24.352  GAME3 = 25.146  lr = 1.00e-05  time = 7.4s
[e003 s0001/1030] loss = 8.362333
[e003 s0050/1030] loss = 7.260430
[e003 s0100/1030] loss = 6.431588
[e003 s0150/1030] loss = 6.561551
[e003 s0200/1030] loss = 9.298181
[e003 s0250/1030] loss = 8.596626
[e003 s0300/1030] loss = 9.446078
[e003 s0350/1030] loss = 8.772831
[e003 s0400/1030] loss = 9.113722
[e003 s0450/1030] loss = 8.720932
[e003 s0500/1030] loss = 8.464675
[e003 s0550/1030] loss = 8.742563
[e003 s0600/1030] loss = 8.400254
[e003 s0650/1030] loss = 8.637371
[e003 s0700/1030] loss = 8.382630
[e003 s0750/1030] loss = 8.143634
[e003 s0800/1030] loss = 7.999315
[e003 s0850/1030] loss = 7.856832
[e003 s0900/1030] loss = 7.827588
[e003 s0950/1030] loss = 7.704368
[e003 s1000/1030] loss = 7.582605
Epoch 003: train_loss = 7.510445  MAE/GAME0 = 22.333  RMSE = 41.529  GAME1 = 22.926  GAME2 = 23.712  GAME3 = 24.025  lr = 1.00e-05  time = 7.4s
[e004 s0001/1030] loss = 0.876786
[e004 s0050/1030] loss = 4.222667
[e004 s0100/1030] loss = 4.003288
[e004 s0150/1030] loss = 4.470663
[e004 s0200/1030] loss = 4.683416
[e004 s0250/1030] loss = 4.216540
[e004 s0300/1030] loss = 4.278853
[e004 s0350/1030] loss = 4.559895
[e004 s0400/1030] loss = 4.544959
[e004 s0450/1030] loss = 4.656293
[e004 s0500/1030] loss = 4.459634
[e004 s0550/1030] loss = 4.341779
[e004 s0600/1030] loss = 4.403797
[e004 s0650/1030] loss = 4.477358
[e004 s0700/1030] loss = 4.313207
[e004 s0750/1030] loss = 4.308594
[e004 s0800/1030] loss = 4.384409
[e004 s0850/1030] loss = 4.525047
[e004 s0900/1030] loss = 4.478829
[e004 s0950/1030] loss = 4.742373
[e004 s1000/1030] loss = 4.768802
Epoch 004: train_loss = 4.882438  MAE/GAME0 = 22.721  RMSE = 41.840  GAME1 = 23.035  GAME2 = 23.529  GAME3 = 23.689  lr = 1.00e-05  time = 7.4s
[e005 s0001/1030] loss = 0.290312
[e005 s0050/1030] loss = 2.882088
[e005 s0100/1030] loss = 3.060130
[e005 s0150/1030] loss = 3.660283
[e005 s0200/1030] loss = 3.585485
[e005 s0250/1030] loss = 4.134683
[e005 s0300/1030] loss = 3.872122
[e005 s0350/1030] loss = 3.650651
[e005 s0400/1030] loss = 4.267702
[e005 s0450/1030] loss = 4.159288
